Template,1,2,3,4,5,6,7,8,9,10,11,12
A,MUB2.5,MUB2.5,,,,,,,,,,Buf
B,MUB2.5,MUB2.5,,,,,,,,,,Buf
C,MUB1.25,MUB1.25,,,,,,,,,,Buf
D,MUB1.25,MUB1.25,,,,,,,,,,Buf
E,MUB0.625,MUB0.625,,,,,,,,,,Buf
F,MUB0.625,MUB0.625,,,,,,,,,,Buf
G,MUB0.16,MUB0.16,,,,,,,,,,Buf
H,MUB0.16,MUB0.16,,,,,,,,,,Buf
,,,,,,,,,,,,
Data,1,2,3,4,5,6,7,8,9,10,11,12
A,22184,23390,,,,,,,,,,63
B,21864,23074,,,,,,,,,,66
C,10761,12453,,,,,,,,,,64
D,11865,12634,,,,,,,,,,64
E,5425,6483,,,,,,,,,,66
F,5632,6023,,,,,,,,,,66
G,1486,1527,,,,,,,,,,67
H,1597,1335,,,,,,,,,,73
,,,,,,,,,,,,
Bad_wells,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
conc_uM,1,2,3,4,5,6,7,8,9,10,11,12
A,mub_2.5,mub_2.5,,,,,,,,,,
B,mub_2.5,mub_2.5,,,,,,,,,,
C,mub_1.25,mub_1.25,,,,,,,,,,
D,mub_1.25,mub_1.25,,,,,,,,,,
E,mub_0.625,mub_0.625,,,,,,,,,,
F,mub_0.625,mub_0.625,,,,,,,,,,
G,mub_0.16,mub_0.16,,,,,,,,,,
H,mub_0.16,mub_0.16,,,,,,,,,,
